timestamp,open,high,low,close,volume
2022-08-23,114.3200,115.9300,114.3000,114.7700,14390691
2022-08-22,116.1000,116.5000,114.6700,115.0700,19316024
2022-08-19,119.8700,120.0000,117.6700,118.1200,20186983
2022-08-18,120.2300,121.6900,119.5502,120.8600,15652029
2022-08-17,120.9300,122.1500,120.2000,120.3200,17589157
2022-08-16,122.3200,123.2276,121.5350,122.5100,15626171
2022-08-15,122.2100,123.2600,121.5700,122.8800,15524951
2022-08-12,121.1600,122.6500,120.4001,122.6500,16121087
2022-08-11,122.0800,122.3402,119.5500,119.8200,16671627
2022-08-10,119.5900,121.7800,119.3600,120.6500,20497021
2022-08-09,117.9900,118.2000,116.5600,117.5000,15424257
2022-08-08,119.1200,120.8600,117.8300,118.1400,17061112
2022-08-05,116.9300,118.8600,116.7100,118.2200,15615663
2022-08-04,118.3000,119.5000,117.7100,118.8700,15757698
2022-08-03,116.3400,119.4200,116.1500,118.7800,25302816
2022-08-02,114.4300,117.0800,114.2600,115.9000,17911039
2022-08-01,115.5300,117.1200,114.6900,115.4800,22856202
2022-07-29,113.4000,116.9000,113.2300,116.6400,31336183
2022-07-28,112.8000,114.7000,111.8510,114.5900,23303844
2022-07-27,109.6000,114.4000,108.4200,113.6000,41474618
2022-07-26,107.4300,107.7400,104.7600,105.4400,36626630
2022-07-25,108.8800,110.5800,107.0100,108.2100,28289942
2022-07-22,111.8100,113.1800,107.6000,108.3600,44455304
2022-07-21,115.0900,115.2100,111.9100,115.0400,27267848
2022-07-20,114.0600,116.3300,113.2600,114.7000,26780088
2022-07-19,111.7300,114.8100,110.5000,114.6200,30992331
2022-07-18,113.4400,114.8000,109.3000,109.9100,33247345
2022-07-15,2259.2600,2280.0100,2236.4500,2255.3400,1716538
2022-07-14,2216.5200,2239.7500,2186.5100,2228.8000,1618277
2022-07-13,2252.7800,2303.1399,2236.4600,2243.7400,1947943
2022-07-12,2336.7700,2356.9899,2292.3001,2296.9900,1248508
2022-07-11,2373.0000,2375.8900,2324.6900,2330.4500,1341523
2022-07-08,2351.0000,2408.7000,2350.2800,2403.3700,1454110
2022-07-07,2320.1600,2397.2399,2310.6800,2386.1200,1609197
2022-07-06,2281.8400,2327.0400,2245.0100,2304.2700,1442634
2022-07-05,2150.2900,2281.0516,2124.9901,2277.7400,1821469
2022-07-01,2166.7400,2196.1273,2142.1000,2181.6200,1551394
2022-06-30,2209.9900,2226.5960,2146.2000,2187.4500,1902302
2022-06-29,2242.9700,2273.2900,2231.0801,2245.1300,931393
2022-06-28,2327.0200,2357.1300,2248.8800,2251.4300,1415811
2022-06-27,2378.7000,2385.0000,2320.0150,2332.4500,1641965
2022-06-24,2272.0600,2372.7500,2272.0600,2370.7600,1956138
2022-06-23,2259.0000,2263.9300,2220.5800,2253.6900,1235486
2022-06-22,2223.2600,2275.3900,2214.4857,2240.6800,1196086
2022-06-21,2194.0400,2253.4600,2185.8700,2240.3000,1950514
2022-06-17,2130.7000,2184.9900,2112.5706,2157.3100,2175833
